Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,complexity,scalability
3.0,2,12,1,11,0.5875,4.0512,10,8.955
3.0,4,6,2,29,0.57,2.7012,10,8.9153
3.0,4,12,3,9,0.625,2.7012,10,8.8697
3.0,3,10,3,79,0.625,3.0012,10,8.8935
3.0,6,2,3,85,0.5225,2.2512,10,8.9278
3.0,1,6,1,44,0.545,6.3012,10,8.9875
3.0,4,16,1,22,0.625,2.7012,10,8.8697
3.0,9,10,2,36,0.5875,2.0014,10,8.8264
3.0,7,12,3,96,0.625,2.187,10,8.8051
3.0,1,8,1,71,0.57,6.3012,10,8.9838
3.0,8,10,1,1,0.57,2.0262,10,8.8544
3.0,10,4,3,37,0.545,1.8912,10,8.8709
3.0,5,2,3,46,0.5225,2.3412,10,8.9341
3.0,3,6,2,44,0.57,3.0012,10,8.9309
3.0,7,12,1,8,0.5875,2.187,10,8.8532
3.0,5,14,3,64,0.7125,2.3412,10,8.7203
3.0,4,16,1,7,0.625,2.7012,10,8.8697
3.0,8,14,3,77,0.7125,2.0262,10,8.6369
3.0,10,10,3,98,0.625,1.8912,10,8.7476
3.0,6,14,3,94,0.7125,2.2512,10,8.6984
3.0,5,14,3,82,0.7125,2.3412,10,8.7203
3.0,10,8,3,99,0.5875,1.8912,10,8.808
3.0,4,4,3,59,0.545,2.7012,10,8.9341
3.0,10,8,1,68,0.57,1.8912,10,8.8347
3.0,10,10,1,50,0.57,1.8912,10,8.8347
3.0,5,2,2,88,0.5225,2.3412,10,8.9341
3.0,6,6,3,80,0.57,2.2512,10,8.8791
3.0,8,10,2,30,0.5875,2.0262,10,8.8308
3.0,6,16,2,69,0.7125,2.2512,10,8.6998
3.0,5,12,1,25,0.5875,2.3412,10,8.8708
3.0,1,12,3,79,0.625,6.3012,10,8.975
3.0,8,2,2,85,0.5225,2.0262,10,8.9134
3.0,9,8,1,13,0.57,2.0014,10,8.8504
3.0,7,10,1,42,0.57,2.187,10,8.8737
3.0,5,14,3,59,0.7125,2.3412,10,8.7203
3.0,2,10,3,43,0.625,4.0512,10,8.9404
3.0,3,6,3,49,0.57,3.0012,10,8.9309
3.0,9,10,3,96,0.625,2.0014,10,8.7716
3.0,7,12,2,7,0.625,2.187,10,8.8065
3.0,10,16,3,32,0.75,1.8912,10,8.5158
3.0,4,2,2,61,0.5225,2.7012,10,8.9499
3.0,8,2,1,47,0.51375,2.0262,10,8.9235
3.0,4,16,3,96,0.75,2.7012,10,8.745
3.0,3,4,2,60,0.545,3.0012,10,8.9463
3.0,7,6,2,34,0.57,2.1871,10,8.8733
3.0,2,2,2,32,0.5225,4.0512,10,8.9772
3.0,10,12,2,72,0.625,1.8912,10,8.7476
3.0,10,8,3,90,0.5875,1.8912,10,8.808
3.0,9,2,2,30,0.5225,2.0014,10,8.9108
3.0,7,4,2,87,0.545,2.187,10,8.9002
3.0,3,2,3,61,0.5225,3.0012,10,8.9592
3.0,3,8,3,56,0.5875,3.0012,10,8.9195
3.0,5,10,1,81,0.57,2.3412,10,8.8889
3.0,9,8,3,41,0.5875,2.0013,10,8.8267
3.0,8,4,2,67,0.545,2.0262,10,8.8864
3.0,2,2,2,45,0.5225,4.0512,10,8.9772
3.0,8,4,3,23,0.545,2.0262,10,8.8864
3.0,4,8,3,18,0.5875,2.7012,10,8.9014
3.0,9,10,1,90,0.57,2.0014,10,8.8505
3.0,6,8,3,37,0.5875,2.2512,10,8.8612
3.0,10,10,3,69,0.625,1.8912,10,8.7476
3.0,3,14,3,5,0.7125,3.0012,10,8.8217
3.0,7,6,3,49,0.57,2.1849,10,8.8826
3.0,8,10,2,23,0.5875,2.0262,10,8.8309
3.0,4,6,3,98,0.57,2.7012,10,8.9153
3.0,7,16,3,65,0.75,2.187,10,8.6252
3.0,8,8,2,7,0.5875,2.0262,10,8.8309
3.0,9,6,3,100,0.57,2.0014,10,8.8504
3.0,5,6,1,92,0.545,2.3412,10,8.9134
3.0,8,8,3,73,0.5875,2.0262,10,8.8308
3.0,7,10,3,7,0.625,2.187,10,8.8065
3.0,5,6,1,16,0.545,2.3412,10,8.9134
3.0,10,2,3,70,0.5225,1.8912,10,8.9016
3.0,1,2,3,47,0.5225,6.3012,10,8.9905
3.0,9,4,3,25,0.545,2.0014,10,8.8831
3.0,10,16,2,92,0.7125,1.8912,10,8.5898
3.0,7,14,2,20,0.625,2.187,10,8.8065
3.0,10,10,3,38,0.625,1.8912,10,8.7476
3.0,3,12,1,12,0.5875,3.0012,10,8.9195
3.0,9,12,3,42,0.625,2.0013,10,8.7719
3.0,9,14,2,92,0.625,1.9997,10,8.7789
3.0,3,4,2,25,0.545,3.0012,10,8.9463
3.0,1,10,2,67,0.5875,6.3012,10,8.9812
3.0,7,14,1,69,0.5875,2.1871,10,8.8515
3.0,6,12,3,27,0.625,2.2512,10,8.8168
3.0,1,6,3,50,0.57,6.3012,10,8.9838
3.0,5,4,1,69,0.535,2.3412,10,8.9228
3.0,9,12,2,100,0.625,2.0014,10,8.7716
3.0,5,8,1,66,0.57,2.3412,10,8.8889
3.0,5,6,2,80,0.57,2.3412,10,8.8889
3.0,10,14,2,45,0.625,1.8912,10,8.7476
3.0,2,4,3,96,0.545,4.0512,10,8.97
3.0,7,16,1,69,0.625,2.1871,10,8.8048
