Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
1.3,7,0,1,1300,0.8,12,2,0,2.6594,9,2.1756
1.3,3,0,0,3500,0.2,2,3,0,1.9123,9,7.0911
1.3,2,1,1,1850,0.4,4,3,0,2.6332,9,7.719
1.3,6,1,1,3300,0.6,12,3,0,1.2675,9,5.3257
1.3,1,0,0,1150,0.5,4,3,0,4.6197,9,8.8134
1.3,4,0,1,1150,0,2,2,0,1.8622,9,5.4709
1.3,7,0,0,2300,0.9,4,2,0,1.6274,9,3.5553
1.3,5,1,0,1400,0.7,10,3,0,1.0779,9,7.5148
1.3,6,1,0,3200,1,10,2,0,0.90565,9,7.4532
1.3,9,1,0,3800,0.7,2,3,0,0.54358,9,8.2785
1.3,2,0,0,2050,0,4,3,0,2.4409,9,8.3269
1.3,6,1,1,3200,0.3,4,3,0,1.1332,9,5.9568
1.3,7,1,1,2250,0.6,6,2,0,1.0462,9,5.53
1.3,7,1,0,3800,0.1,6,2,0,0.74025,9,7.8159
1.3,10,1,0,2700,0.7,2,1,0,0.48468,9,8.4334
1.3,6,1,0,2550,0.3,2,2,0,0.78913,9,8.5951
1.3,2,0,1,2700,0.5,8,1,0,3.3417,9,6.1236
1.3,9,0,1,3300,1,14,2,0,7.0838,9,0.63525
1.3,9,0,0,2800,0.6,14,2,0,1.9227,9,2.3405
1.3,10,0,0,3600,0.3,4,1,0,1.9056,9,2.1325
1.3,6,0,1,2650,0.7,10,2,0,4.0189,9,1.6796
1.3,6,0,0,3500,0.4,10,3,0,1.8029,9,3.744
1.3,8,1,1,2850,0.7,4,3,0,0.94565,9,5.3535
1.3,5,1,1,750,0.9,12,3,0,1.4175,9,5.7145
1.3,3,0,1,3600,0.3,10,2,0,3.4965,9,3.861
1.3,1,1,0,1950,0.3,2,2,3.2e-06,4.5473,9,8.9784
1.3,1,0,1,3050,0,2,3,0,4.9991,9,8.151
1.3,1,0,0,2900,0.8,12,2,0,4.8323,9,8.4216
1.3,8,1,1,2550,0.3,2,2,0,0.90763,9,5.597
