Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
2.1,4,1,1,1250,8,0,4450,840,10,12,2,0,14.2399,16,8.89146
2.1,8,0,1,3350,4,0.3,2850,784,3,12,3,0,12.8716,16,8.86127
2.1,8,1,0,3000,1,0.9,9050,840,5,16,1,0,9.58414,16,3.04788
2.1,1,1,1,1950,3,1,3050,640,7,8,2,0,24.6667,16,8.9688
2.1,10,1,0,4950,3,0.6,4200,616,3,16,1,0,92.9676,16,0.278923
2.1,10,1,1,9300,2,0.1,7950,40,1,2,2,0,11.9073,16,8.98097
2.1,8,1,0,3750,5,0.3,5950,160,9,16,1,0,57.9201,16,0.504338
2.1,5,1,1,2050,2,0.4,600,328,4,16,1,0,13.4436,16,8.86983
2.1,4,1,0,5400,4,0,9150,112,3,6,3,0,10.6955,16,4.26477
2.1,5,0,0,3550,3,0.6,8900,144,6,16,1,0,41.0001,16,0.924846
2.1,7,1,0,9400,2,0.8,8050,112,8,8,1,0,88.9431,16,0.361276
2.1,2,0,0,1100,10,0.3,4300,304,2,8,3,0,18.659,16,4.15991
2.1,6,1,0,1750,6,0,800,288,7,12,2,0,6.71294,16,5.16597
2.1,9,0,0,4900,8,0.1,7100,552,3,6,3,0,59.7044,16,0.463263
2.1,4,0,1,6100,2,0.7,9450,880,9,4,1,0,14.5195,16,8.97863
2.1,1,0,1,8350,10,0.5,1350,288,1,2,2,3.2e-06,24.8574,16,9.00077
2.1,1,0,1,7400,7,0.2,5350,952,9,8,3,0,24.9545,16,8.95869
2.1,5,0,1,7000,6,0,3750,384,3,8,1,0,13.7589,16,8.93941
2.1,2,0,1,8000,5,0.2,750,880,7,16,3,0,18.3388,16,9.10524
2.1,7,0,1,1450,4,0,3550,816,8,12,2,0,13.1667,16,8.88241
2.1,10,0,0,7250,4,0.7,1850,968,10,12,2,0,225.6702,16,0.114188
2.1,3,1,1,3750,5,0.5,7050,296,4,6,3,0,15.2309,16,8.94228
2.1,3,1,1,1350,2,0.2,8500,232,1,12,1,0,15.2783,16,8.91842
2.1,9,1,0,2800,1,0.4,3550,320,6,12,1,0,9.6899,16,2.87297
2.1,7,0,1,3200,4,0.7,5250,568,8,6,3,0,13.0926,16,8.93265
2.1,10,0,0,4550,4,0.5,8600,184,3,2,2,0,113.9223,16,0.2262681
2.1,7,0,1,4400,3,0.6,2200,832,7,8,2,0,13.1084,16,8.92189
2.1,1,0,1,3450,10,0.4,4450,672,3,16,2,0,25.0532,16,8.92296
2.1,1,0,0,6750,2,1,1250,240,2,16,1,0,26.4894,16,5.72853
2.1,9,1,0,5400,6,0.5,9250,32,2,4,2,0,173.5405,16,0.1604169
2.1,7,0,1,3450,3,0.9,2500,72,7,14,2,0,13.1958,16,8.8628
2.1,4,0,1,9300,2,0.3,4650,704,1,2,1,0,14.4948,16,8.99555
2.1,2,1,0,4000,3,0.3,3000,936,8,6,1,0,17.0722,16,4.60724
2.1,3,1,1,7950,4,0.2,6550,424,9,10,2,0,15.2758,16,8.91598
2.1,2,1,1,8550,9,0.1,4300,752,8,2,3,0,17.7437,16,8.99057
2.1,2,0,1,2050,9,0.6,1800,568,6,16,2,0,18.3032,16,8.88691
2.1,7,0,1,2100,10,1,2300,144,5,8,1,0,13.0906,16,8.93401
2.1,5,1,0,5850,9,0.5,4200,576,2,2,2,0,163.8633,16,0.2336527
2.1,7,1,1,5500,8,0,700,184,5,2,2,0,12.5967,16,8.983
2.1,9,0,0,4600,3,0.7,3300,728,3,16,1,0,93.9872,16,0.294283
2.1,7,0,1,5650,1,0.8,800,936,10,6,1,0,13.0659,16,9.53391
