Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,32,1536,1,0,0.22277,10,-0.055343
1.2,51,192,3,0,0.18385,10,-0.0099721
1.2,31,320,2,0,0.22058,10,-0.0095982
1.2,67,384,1,0,0.22126,10,-0.024405
1.2,7,1472,7,4.4503e-17,0.18928,10,-0.01466
1.2,43,4160,10,0,0.18719,10,-0.23081
1.2,28,2240,7,0,0.19229,10,-0.084898
1.2,19,192,5,0,0.17629,10,-0.0039937
1.2,90,7040,6,0,0.22468,10,-0.49733
1.2,19,960,3,0,0.18439,10,-0.023941
1.2,40,256,6,0,0.18392,10,-0.011651
1.2,70,832,6,4.6366e-17,0.18645,10,-0.072276
1.2,23,192,5,0,0.17632,10,-0.004813
1.2,47,5632,3,0,0.20024,10,-0.30103
1.2,46,256,5,0,0.17664,10,-0.013678
1.2,81,5632,10,0,0.20505,10,-0.42698
1.2,97,2688,5,4.4423e-17,0.19136,10,-0.28988
1.2,61,9152,1,3.5838e-17,0.25783,10,-0.43245
1.2,99,7360,10,0,0.22352,10,-0.53701
1.2,51,3200,7,3.9593e-17,0.19866,10,-0.20505
1.2,61,384,2,4.4449e-17,0.22116,10,-0.022291
1.2,58,8000,10,0,0.20709,10,-0.44233
1.2,79,192,5,0,0.17673,10,-0.016127
1.2,92,512,3,0,0.18568,10,-0.055623
1.2,90,512,6,0,0.18564,10,-0.05479
1.2,84,192,7,0,0.18935,10,-0.016302
1.2,88,1856,7,0,0.19771,10,-0.18705
1.2,5,832,2,0,0.22036,10,-0.004698
1.2,14,1856,2,0,0.22158,10,-0.031077
1.2,55,448,8,4.4548e-17,0.18001,10,-0.029835
1.2,13,1472,2,4.4446e-17,0.22117,10,-0.022426
1.2,88,1728,5,3.5721e-17,0.18464,10,-0.19154
1.2,76,7040,2,0,0.25493,10,-0.41845
1.2,74,1984,3,0,0.19155,10,-0.1754
1.2,7,2432,4,0,0.19361,10,-0.024248
1.2,33,960,6,0,0.18507,10,-0.041108
1.2,12,128,2,0,0.2202,10,-0.0012916
1.2,9,1280,3,5.618e-17,0.18409,10,-0.016279
1.2,32,448,1,4.4418e-17,0.22079,10,-0.014293
1.2,51,3776,6,0,0.19505,10,-0.23176
1.2,91,256,8,0,0.17987,10,-0.026226
1.2,38,128,10,0,0.17633,10,-0.005139
1.2,99,256,10,0,0.17721,10,-0.028916
1.2,25,192,10,0,0.17633,10,-0.0053037
1.2,26,2368,5,0,0.17964,10,-0.088559
1.2,11,832,3,4.4429e-17,0.18394,10,-0.01217
1.2,59,6144,1,0,0.24311,10,-0.32807
1.2,40,128,8,0,0.17909,10,-0.0052821
1.2,69,9984,5,0,0.22208,10,-0.53029
1.2,75,2368,1,4.4417e-17,0.23021,10,-0.18084
1.2,89,320,5,4.4484e-17,0.17738,10,-0.033492
1.2,73,3968,3,0,0.20086,10,-0.30829
1.2,99,1088,5,0,0.18171,10,-0.13335
1.2,68,192,10,0,0.17665,10,-0.014007
1.2,98,2816,4,4.4453e-17,0.20875,10,-0.28346
1.2,42,832,4,0,0.1944,10,-0.042856
1.2,35,192,7,0,0.18899,10,-0.0070873
1.2,66,640,9,0,0.18552,10,-0.052024
1.2,49,5376,2,0,0.23683,10,-0.26481
1.2,10,9152,1,3.5838e-17,0.22633,10,-0.11874
1.2,82,4160,7,0,0.20977,10,-0.34228
1.2,40,6720,10,0,0.19363,10,-0.31789
1.2,8,6144,2,0,0.22326,10,-0.065007
1.2,83,1088,8,5.5733e-17,0.18357,10,-0.11309
1.2,9,256,6,0,0.18359,10,-0.0028737
1.2,11,576,9,0,0.18378,10,-0.0080249
1.2,49,4928,9,0,0.19837,10,-0.27789
1.2,30,8000,8,2.8674e-17,0.1949,10,-0.29693
1.2,65,256,4,0,0.19334,10,-0.017542
1.2,94,2944,2,4.442e-17,0.23629,10,-0.25869
1.2,80,3456,3,0,0.20007,10,-0.29892
1.2,51,3072,7,3.3162e-17,0.198,10,-0.19447
1.2,42,128,6,0,0.18369,10,-0.0055501
1.2,90,8384,9,0,0.23379,10,-0.5412
1.2,58,128,8,0,0.17917,10,-0.0075863
1.2,93,1152,6,0,0.18903,10,-0.12834
1.2,1,960,3,0,0.18353,10,-0.0012834
1.2,87,192,10,0,0.17679,10,-0.0178
1.2,95,2112,8,0,0.19027,10,-0.23327
1.2,54,4352,4,0,0.20714,10,-0.26348
1.2,35,3072,3,0,0.18975,10,-0.14245
1.2,100,832,5,0,0.18031,10,-0.10358
1.2,99,2688,1,4.4423e-17,0.23567,10,-0.25152
1.2,72,3456,1,0,0.23508,10,-0.24452
