1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,9,1.0,0.0,7900.0,1.0,0.1,2250.0,711.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71313,0,2.7969e-05
0,0,0,0,1,0,0,10,0.0,0.0,6400.0,3.0,0.7,9850.0,17.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5119,0,2.6048e-05
0,0,0,0,1,0,0,10,0.0,0.0,4850.0,2.0,0.3,8000.0,35.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0741,0,2.6033e-05
0,0,0,0,1,0,0,6,0.0,1.0,6250.0,6.0,0.8,4050.0,14.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5235,0,0.00013815
0,0,0,0,1,0,0,4,0.0,0.0,8600.0,10.0,0.8,9700.0,87.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.256,0,4.1962e-05
0,0,0,0,1,0,0,10,0.0,1.0,7450.0,2.0,0.0,5600.0,9.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000576,1.4433,0,0.00013113
0,0,0,0,1,0,0,7,0.0,1.0,850.0,7.0,0.5,6000.0,557.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053589,1.5012,0,0.00013641
0,0,0,0,1,0,0,9,1.0,1.0,2000.0,5.0,0.6,6150.0,33.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409,0,0.00012799
0,0,0,0,1,0,0,3,1.0,1.0,4900.0,7.0,0.8,2700.0,310.0,10.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6182,0,0.0
0,0,0,0,1,0,0,6,0.0,0.0,1400.0,8.0,0.6,7350.0,23.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021024,1.7097,0,3.3387e-05
0,0,0,0,1,0,0,1,1.0,1.0,4100.0,9.0,0.6,8450.0,83.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012881,2.41,0,0.00021906
0,0,0,0,1,0,0,10,1.0,1.0,2800.0,3.0,0.6,4250.0,310.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048084,1.3898,0,0.00012627
