e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
0,0,0,1,1,180,164,125,0.0001402001
0,0,0,1,1,24,2,125,0.00013156
0,0,0,1,1,400,12,125,0.0001578003
0,0,0,1,1,12,32,125,0.000130888
0,0,0,1,1,120,340,125,0.0001354001
0,0,0,1,1,50,1,125,0.0001338001
0,0,0,1,1,700,1,125,0.0001818004
0,0,0,1,1,100,8,125,0.0001338001
0,0,0,1,1,1000,192,125,0.0002058006
0,0,0,1,1,300,300,125,0.0001498002
0,0,0,1,1,1000,192,125,0.0002058006
0,0,0,1,1,8,64,125,0.000130856
0,0,0,1,1,800,128,125,0.0001898005
0,0,0,1,1,800,16,125,0.0001898005
0,0,0,1,1,800,300,125,0.0001898005
0,0,0,1,1,600,8,125,0.0001738004
0,0,0,1,1,500,256,125,0.0001658003
0,0,0,1,1,400,8,125,0.0001578003
0,0,0,1,1,100,32,125,0.0001338001
0,0,0,1,1,180,192,125,0.0001402001
0,0,0,1,1,300,320,125,0.0001498002
0,0,0,1,1,300,2,125,0.0001498002
0,0,0,1,1,220,380,125,0.0001434001
0,0,0,1,1,180,320,125,0.0001402001
0,0,0,1,1,500,64,125,0.0001658003
0,0,0,1,1,500,48,125,0.0001658003
0,0,0,1,1,800,48,125,0.0001898005
0,0,0,1,1,16,24,125,0.00013092
0,0,0,1,1,16,128,125,0.00013092
0,0,0,1,1,24,128,125,0.00013156
0,0,0,1,1,50,340,125,0.0001338001
0,0,0,1,1,800,320,125,0.0001898005
0,0,0,1,1,800,192,125,0.0001898005
0,0,0,1,1,220,32,125,0.0001434001
0,0,0,1,1,24,340,125,0.00013156
0,0,0,1,1,400,128,125,0.0001578003
0,0,0,1,1,8,32,125,0.000130856
0,0,0,1,1,600,380,125,0.0001738004
0,0,0,1,1,180,360,125,0.0001402001
0,0,0,1,1,8,164,125,0.000130856
0,0,0,1,1,120,192,125,0.0001354001
0,0,0,1,1,500,164,125,0.0001658003
