1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,1,1.0,1.0,3100.0,5.0,0.5,6350.0,458.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063031,2.4074,0,0.00021874
0,0,0,0,1,0,0,2,1.0,1.0,9000.0,2.0,0.6,8450.0,416.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8666,0,0.00016936
0,0,0,0,1,0,0,9,1.0,0.0,4050.0,8.0,0.0,3200.0,165.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088452,0.51629,0,2.8082e-05
0,0,0,0,1,0,0,4,1.0,1.0,1650.0,10.0,1.0,8000.0,165.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5437,0,0.0
0,0,0,0,1,0,0,8,1.0,1.0,6250.0,2.0,0.6,3800.0,210.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00064092,1.4198,0,0.00012904
0,0,0,0,1,0,0,4,0.0,0.0,3000.0,9.0,0.0,4750.0,614.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51989,0,0.0
0,0,0,0,1,0,0,5,1.0,1.0,9600.0,3.0,0.0,2650.0,359.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4781,0,0.0
0,0,0,0,1,0,0,10,0.0,1.0,8700.0,4.0,0.1,7400.0,135.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069465,1.443,0,0.00013113
0,0,0,0,1,0,0,1,1.0,0.0,8550.0,5.0,0.3,1700.0,210.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5576,0,0.0
0,0,0,0,1,0,0,6,1.0,0.0,1300.0,5.0,0.7,1700.0,220.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0462,0,3.3401e-05
0,0,0,0,1,0,0,9,1.0,1.0,9450.0,2.0,0.9,9300.0,268.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4098,0,0.00012795
0,0,0,0,1,0,0,10,0.0,1.0,750.0,8.0,0.3,3850.0,17.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4458,0,0.00013106
0,0,0,0,1,0,0,5,0.0,1.0,6950.0,8.0,0.4,700.0,823.0,5.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5496,0,0.00014061
0,0,0,0,1,0,0,9,0.0,0.0,6350.0,7.0,0.3,1450.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005616,3.7016,0,2.7909e-05
0,0,0,0,1,0,0,8,0.0,0.0,1350.0,9.0,1.0,8350.0,14.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.661,0,2.8729e-05
0,0,0,0,1,0,0,9,1.0,0.0,8300.0,6.0,0.2,8750.0,23.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8921,0,2.7996e-05
0,0,0,0,1,0,0,7,0.0,0.0,7950.0,9.0,0.6,9050.0,784.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8807,0,3.1281e-05
0,0,0,0,1,0,0,10,1.0,1.0,3800.0,4.0,0.8,8050.0,44.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3905,0,0.00012624
