Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,7,0,1,2150,0.8,4,2,0,65.7509,0,-2.18784e-10
1.3,3,0,0,6550,1,6,3,0,95.1022,0,-9.37648e-11
1.3,10,1,1,1700,0.5,2,3,0,0.0094718,0,-3.1328e-10
1.3,4,1,1,2150,0.3,2,3,5.76e-05,0.0098875,0,5.27e-08
1.3,8,0,1,4400,0.7,4,3,0,144.7149,0,-2.504152e-10
1.3,1,0,0,900,0.1,12,1,3.36e-05,2.4086,0,5.8883e-07
1.3,10,1,0,500,0.9,4,3,0,0.0017179,0,-3.1328e-10
1.3,3,1,0,10000,1,4,3,0.0001296,0.0020139,0,4.7467e-08
1.3,7,1,1,900,0.9,4,3,0,0.010217,0,-2.1878e-10
1.3,4,0,1,1300,0.1,12,3,0,13.8191,0,-1.25056e-10
1.3,10,0,1,5650,0.3,12,1,0,177.17,0,-3.132825e-10
1.3,2,0,0,500,0.6,6,2,2.88e-05,3.903,0,1.2397e-07
1.3,7,1,0,3900,0.6,6,3,0,0.002463,0,-2.1878e-10
1.3,3,0,0,5300,0.5,4,1,0.0001008,57.6029,0,2.06148e-07
1.3,3,1,1,4150,0.6,16,2,0,0.013902,0,-9.3765e-11
1.3,5,0,1,1700,0.3,6,3,0,26.4273,0,-1.56357e-10
1.3,10,1,1,1900,0.1,2,3,0,0.0094718,0,-3.1328e-10
1.3,10,1,1,950,0.7,2,1,0.000624,0.0096911,0,1.1534e-07
1.3,9,0,0,8350,0.4,6,1,0,253.5016,0,-2.818602e-10
1.3,7,0,0,1700,0.3,2,3,0.0001344,37.2008,0,2.30047e-08
1.3,3,1,1,1150,0.2,2,1,0.000216,0.01129,0,2.482e-07
1.3,3,0,1,3150,0.2,10,3,0,27.331,0,-9.37648e-11
1.3,2,1,0,1750,0.3,4,1,0.0001056,0.0042164,0,3.3349e-07
1.3,1,1,0,900,0.5,2,2,0.0003984,0.0046892,0,3.8446e-07
1.3,6,0,1,6550,0,2,1,0.0002016,94.3093,0,1.19733e-07
1.3,6,1,1,950,1,4,1,8.64e-05,0.010436,0,7.7677e-08
1.3,2,0,1,550,0.3,6,3,8.64e-05,3.3059,0,5.9278e-08
1.3,1,1,0,1200,0.2,12,2,1.44e-05,0.0062816,0,2.4324e-07
1.3,6,1,0,7150,0.5,2,1,0.0002016,0.0016505,0,1.1973e-07
1.3,3,0,1,550,0.5,4,1,0.0001008,6.008,0,2.0615e-07
1.3,6,0,1,500,0.6,2,2,8.64e-05,11.4104,0,4.96906e-08
1.3,1,1,1,5000,0.8,2,1,0.000744,0.016271,0,6.2905e-07
1.3,4,1,0,1800,0,2,3,5.76e-05,0.0013875,0,5.27e-08
1.3,9,1,1,3250,0.1,2,3,0,0.0094714,0,-2.8186e-10
1.3,8,1,1,900,0.8,16,2,0,0.013904,0,-2.5042e-10
1.3,3,0,1,6550,1,2,3,0.0001008,95.1687,0,8.57173e-08
