e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,120,0.1,1,1,4,128,7.8125,1.373254e-05
1,50,0.8,1,1,400,410,2.45098,0.001643264
1,800,3,1,1,4,48,20.83333,2.739338e-05
1,24,2,1,1,800,300,3.378378,0.002404198
1,600,4,1,1,24,300,3.378378,4.017867e-05
1,32,1,1,1,8,192,5.208333,2.136846e-05
1,1000,1,1,1,700,300,3.040541,0.001893856
1,400,5,1,1,24,300,3.378378,7.617895e-05
1,800,4,1,1,1,24,41.66667,4.748271e-05
1,50,4,1,1,8,16,62.5,6.842e-05
1,300,6,1,1,1000,410,2.45098,0.004103284
1,220,0.5,1,1,800,16,62.5,0.000191301
1,24,0.3,1,1,180,8,125,0.0001402001
1,50,8,1,1,120,192,5.208333,0.0002364102
1,400,8,1,1,1000,360,2.777778,0.003603607
1,32,4,1,1,32,300,3.378378,0.0001001791
1,120,7,1,1,12,24,41.66667,4.822671e-05
1,8,3,1,1,16,64,15.625,2.66651e-05
1,8,6,1,1,600,128,7.8125,0.0007766186
1,300,7,1,1,300,410,2.45098,0.001233261
1,180,0.5,1,1,300,16,62.5,0.0001113004
1,32,9,1,1,120,360,2.777778,0.0004355812
1,12,0.8,1,1,1000,256,3.90625,0.002564727
1,8,10,1,1,32,64,15.625,3.69052e-05
1,600,9,1,1,12,24,41.66667,4.822671e-05
1,180,5,1,1,16,128,7.8125,2.909266e-05
1,120,9,1,1,8,164,6.25,2.01701e-05
1,12,0.1,1,1,2,16,62.5,6.8324e-05
1,8,3,1,1,1,256,3.90625,9.826291e-06
1,400,9,1,1,600,24,41.66667,0.0001864678
1,600,7,1,1,120,64,15.625,5.482531e-05
1,8,0.8,1,1,800,192,5.208333,0.001542021
1,300,5,1,1,16,32,31.25,3.717004e-05
1,180,7,1,1,800,32,31.25,0.000288052
1,50,8,1,1,100,256,3.90625,0.0002607083
1,500,0.5,1,1,120,32,31.25,7.045031e-05
1,8,1,1,1,1,360,2.777778,1.077784e-05
1,180,0.3,1,1,400,410,2.45098,0.001643264
1,1000,0.8,1,1,50,320,2.8125,0.0001476137
1,700,9,1,1,600,48,20.83333,0.0001656345
1,16,5,1,1,800,192,5.208333,0.001542021
1,1000,5,1,1,600,12,125,0.0001618003
1,8,0.5,1,1,50,380,2.659574,0.0001934611
1,16,0.3,1,1,1000,360,2.777778,0.003603607
1,220,0.1,1,1,800,340,2.97619,0.002723798
1,12,6,1,1,50,32,31.25,4.80501e-05
1,16,0.3,1,1,4,256,3.90625,1.494633e-05
1,16,6,1,1,32,8,125,0.00013092
1,24,5,1,1,12,128,7.8125,2.397262e-05
1,220,1,1,1,24,48,20.83333,3.315343e-05
1,400,9,1,1,400,16,62.5,0.0001273005
1,800,7,1,1,1,24,41.66667,4.748271e-05
1,800,7,1,1,8,128,7.8125,1.373254e-05
1,220,0.1,1,1,220,12,125,0.0001522002
1,1000,3,1,1,8,256,3.90625,1.494633e-05
1,300,0.3,1,1,1,164,6.25,1.361005e-05
1,500,5,1,1,600,300,3.378378,0.001804193
1,120,10,1,1,700,300,3.378378,0.002104195
1,100,0.3,1,1,700,256,3.90625,0.001796721
1,1000,2,1,1,180,8,125,0.0001330001
1,180,2,1,1,8,12,125,0.0001333841
1,50,6,1,1,50,48,20.8333,4.56335e-05
1,800,3,1,1,1,192,5.208333,1.176838e-05
1,16,4,1,1,4,300,3.378378,1.617847e-05
1,32,5,1,1,800,64,15.625,0.0005284291
1,12,8,1,1,800,340,2.97619,0.002723798
1,100,0.8,1,1,12,320,3.125,4.232531e-05
1,600,1,1,1,100,410,2.205882,0.0003720088
1,16,6,1,1,1,192,5.208333,1.176838e-05
1,400,4,1,1,120,48,20.83333,7.923379e-05
1,600,9,1,1,500,12,125,0.0001558002
1,16,7,1,1,32,256,3.90625,8.662691e-05
1,12,8,1,1,12,340,2.97619,4.457652e-05
1,300,10,1,1,8,128,7.8125,1.885258e-05
1,50,9,1,1,120,12,125,0.0001402001
1,100,5,1,1,120,32,31.25,7.045031e-05
1,100,0.8,1,1,220,16,62.5,9.850028e-05
1,220,4,1,1,500,32,31.25,0.0001920513
1,600,5,1,1,100,128,7.8125,7.261301e-05
1,24,0.8,1,1,1000,164,6.25,0.001647063
1,50,4,1,1,500,128,7.8125,0.0006486176
1,600,5,1,1,700,360,2.777778,0.001263588
1,800,0.3,1,1,600,164,6.25,0.0009910579
1,300,8,1,1,1,410,2.45098,1.145105e-05
1,180,8,1,1,600,256,3.90625,0.001540719
1,300,5,1,1,16,410,2.45098,6.885151e-05
1,600,8,1,1,2,32,31.25,3.710604e-05
1,50,9,1,1,100,300,3.378378,0.0003041808
1,1000,0.8,1,1,800,32,28.125,0.0002593268
1,600,2,1,1,50,300,3.378378,7.917898e-05
1,700,1,1,1,600,300,3.040541,0.001623854
1,300,0.3,1,1,8,12,125,0.0001333841
1,600,5,1,1,24,32,31.25,3.973006e-05
1,120,0.5,1,1,600,24,41.66667,0.0001864678
1,800,0.1,1,1,32,300,3.378378,0.0001001791
1,50,0.3,1,1,32,360,2.777778,0.0001187787
1,300,0.3,1,1,700,48,20.83333,0.000357636
1,32,2,1,1,16,340,2.97619,5.817663e-05
1,220,5,1,1,100,300,3.378378,0.0003041808
1,1000,0.8,1,1,4,8,112.5,0.000117812
1,50,7,1,1,12,256,3.90625,3.54265e-05
1,8,4,1,1,180,64,15.625,0.0001316259
1,16,3,1,1,180,380,2.659574,0.000687465
1,180,2,1,1,1,8,59.2,6.236802e-05
1,32,0.8,1,1,700,128,7.8125,0.0009046197
1,800,0.8,1,1,12,128,7.03125,2.165536e-05
1,1000,6,1,1,600,128,7.8125,0.0003926156
1,1000,8,1,1,2,340,2.97619,1.057624e-05
1,1000,5,1,1,100,48,20.83333,4.563353e-05
1,100,8,1,1,24,340,2.97619,8.537684e-05
1,400,0.8,1,1,1,164,6.25,1.361005e-05
1,24,0.5,1,1,220,8,125,0.0001434001
1,16,8,1,1,1000,16,62.5,0.0002233013
1,220,2,1,1,16,320,3.125,5.512541e-05
1,600,10,1,1,1,164,6.25,1.279005e-05
1,1000,9,1,1,180,16,62.5,7.770012e-05
1,500,10,1,1,500,48,20.83333,0.0002616353
1,16,4,1,1,24,256,3.90625,6.614674e-05
1,500,0.5,1,1,16,24,41.66667,5.014673e-05
1,800,0.1,1,1,180,320,3.125,0.0005799296
1,1000,4,1,1,4,32,31.25,3.717004e-05
1,800,9,1,1,180,380,2.659574,0.0003454623
1,500,3,1,1,180,32,31.25,8.965046e-05
1,600,0.8,1,1,1,340,2.678571,9.59862e-06
1,8,0.5,1,1,12,24,41.6667,4.82267e-05
1,180,7,1,1,700,32,31.25,0.0002560518
1,400,10,1,1,120,12,125,0.0001402001
1,500,9,1,1,500,192,5.208333,0.000966016
1,600,1,1,1,220,300,3.040541,0.0005978453
1,600,8,1,1,16,192,5.208333,2.136846e-05
1,120,7,1,1,12,128,7.8125,2.397262e-05
