Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,3,1,1,9950,3,0.9,9650,255,1,6,2,0.00016868,1.6501,0,0.00014982
2.1,10,1,0,5800,7,0.5,3850,326,3,2,1,0.0013024,5.6468,0,2.6402e-05
2.1,4,0,1,8200,10,0,2400,585,3,8,1,0.00050038,1.6192,0,0.00014703
2.1,9,1,0,7650,8,0.8,950,17,7,2,2,0.0010368,11.8393,0,2.81276e-05
2.1,10,1,1,2250,8,0.4,3700,190,6,4,2,0,1.3903,0,0.00012624
2.1,9,0,0,6550,4,0.5,4200,9,5,6,2,0,3.3454,0,2.7796e-05
2.1,1,0,1,1050,8,0.1,1650,23,6,2,3,0.0017616,2.4395,0,0.00022195
2.1,4,0,1,750,9,0.7,9550,28,7,16,2,0,1.6212,0,0.00014702
2.1,3,1,0,7250,5,0.1,8900,149,8,2,3,0.0002016,0.92415,0,4.9851e-05
2.1,5,1,0,3650,9,0.3,5950,16,3,4,3,0,1.7676,0,3.6056e-05
2.1,9,0,0,9200,2,0.9,3250,505,2,14,1,0,3.063,0,2.7747e-05
2.1,4,1,0,5950,10,0.2,8400,30,4,2,2,0.0023424,1.8416,0,4.2795e-05
2.1,7,0,0,5600,4,0.1,6750,377,7,4,2,0,0.97286,0,3.1299e-05
2.1,9,0,0,8550,4,0.1,3450,8,9,4,1,0.0008208,1.5112,0,2.7908e-05
2.1,8,1,0,4000,10,1,1850,117,1,4,1,0.00036822,8.8223,0,2.8992e-05
2.1,9,0,1,6700,10,0,4250,746,3,2,3,0,1.4615,0,0.00013275
2.1,8,0,1,1150,2,1,500,396,9,8,1,0,1.5121,0,0.000138
2.1,6,1,1,9850,7,0.1,600,30,6,2,1,0.0049248,1.4697,0,0.0001341
2.1,9,0,0,1650,6,0.1,4550,13,7,4,1,0.0008208,0.65254,0,2.7915e-05
2.1,5,1,1,2700,8,0.3,500,28,5,2,1,0.00456,1.4985,0,0.00013667
2.1,3,0,0,5450,4,0.3,1150,68,10,2,1,0.0016704,1.0838,0,4.9504e-05
2.1,10,1,0,5700,6,0,2750,9,9,4,3,0,0.61549,0,2.6261e-05
2.1,1,1,1,1900,2,0.4,4250,49,7,2,2,0.0017857,2.407,0,0.00021892
2.1,10,1,1,4850,9,0.3,1700,117,7,2,1,0.00060113,1.3901,0,0.00012634
2.1,2,0,1,5350,5,0.3,5100,12,10,2,3,0.0001056,1.9102,0,0.0001736
2.1,3,0,1,2600,9,0.9,3100,505,3,12,1,0.00028529,1.6993,0,0.00015419
2.1,4,0,0,1000,10,0.4,7550,101,6,8,2,0,1.0639,0,4.197e-05
2.1,6,1,1,1150,3,0.1,3100,10,4,14,1,0,1.4724,0,0.00013346
2.1,5,0,0,5200,1,0.1,2100,46,10,2,3,0.00037535,0.57002,0,3.5711e-05
2.1,5,1,0,3550,2,0.1,7450,23,6,4,3,0,0.55057,0,3.6045e-05
2.1,7,1,0,7750,7,0.1,2550,12,3,8,3,0,1.6005,0,3.162e-05
2.1,7,0,0,5950,2,0.4,1600,326,4,6,2,0,1.1176,0,3.1281e-05
2.1,8,0,0,9750,10,1,6900,46,6,4,3,0,21.8453,0,2.87077e-05
