Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,49,1472,4,0,0.1965,0,1.7513e-05
1.2,31,320,6,1.0039e-16,0.18392,0,1.668e-05
1.2,70,3072,4,0,0.20519,0,1.7513e-05
1.2,75,128,6,0,0.18384,0,1.668e-05
1.2,10,256,7,0,0.18884,0,1.7156e-05
1.2,86,3072,1,0,0.23556,0,2.0013e-05
1.2,95,1024,10,0,0.18118,0,1.6013e-05
1.2,32,3776,9,0,0.19073,0,1.6679e-05
1.2,90,320,7,1.0103e-16,0.18998,0,1.7156e-05
1.2,75,3456,6,0,0.19904,0,1.668e-05
1.2,81,7040,3,0,0.22055,0,1.668e-05
1.2,89,9152,6,4.4484e-17,0.23779,0,1.668e-05
1.2,76,1792,8,0,0.18639,0,1.6263e-05
1.2,6,2688,9,4.4545e-17,0.18442,0,1.6679e-05
1.2,85,4352,1,0,0.24296,0,2.0013e-05
1.2,72,512,5,0,0.17787,0,1.6013e-05
1.2,22,256,5,0,0.17638,0,1.6013e-05
1.2,77,7040,3,0,0.21871,0,1.668e-05
1.2,32,2816,6,Inf,0.19123,0,-Inf
1.2,10,1088,8,5.5733e-17,0.17946,0,1.6263e-05
1.2,46,2944,10,0,0.18405,0,1.6013e-05
1.2,61,192,5,0,0.1766,0,1.6013e-05
1.2,41,1472,8,0,0.18212,0,1.6263e-05
1.2,52,1152,9,5.7563e-17,0.18658,0,1.668e-05
1.2,26,5376,6,4.4486e-17,0.19234,0,1.668e-05
1.2,60,1344,9,0,0.18778,0,1.668e-05
1.2,34,128,3,0,0.18364,0,1.668e-05
1.2,40,8768,2,0,0.24353,0,2.0013e-05
1.2,73,9152,7,7.3082e-17,0.23327,0,1.7155e-05
1.2,21,896,1,0,0.22109,0,2.0013e-05
1.2,63,2816,10,4.4545e-17,0.1865,0,1.6013e-05
1.2,76,3456,8,0,0.19466,0,1.6263e-05
1.2,75,192,2,0,0.2207,0,2.0013e-05
1.2,34,1664,7,0,0.19184,0,1.7156e-05
1.2,15,960,4,0,0.19337,0,1.7513e-05
1.2,96,192,6,0,0.1842,0,1.668e-05
1.2,17,960,10,0,0.17697,0,1.6013e-05
1.2,98,704,7,9.3697e-17,0.19212,0,1.7149e-05
1.2,30,320,3,0,0.18389,0,1.668e-05
1.2,66,3648,9,0,0.19793,0,1.6679e-05
1.2,9,256,1,0,0.22024,0,2.0013e-05
1.2,11,6144,2,0,0.22443,0,2.0013e-05
1.2,64,2112,2,0,0.22781,0,2.0013e-05
1.2,82,2816,8,4.4453e-17,0.19237,0,1.6263e-05
1.2,70,384,10,0,0.17732,0,1.6013e-05
1.2,26,960,10,0,0.1774,0,1.6013e-05
1.2,58,2432,6,4.452e-17,0.19148,0,1.668e-05
1.2,68,128,2,0,0.22047,0,2.0013e-05
1.2,4,4736,7,0,0.1899,0,1.7156e-05
1.2,55,192,5,0,0.17655,0,1.6013e-05
1.2,68,7680,4,0,0.2266,0,1.7513e-05
1.2,45,3328,7,0,0.19772,0,1.7156e-05
1.2,32,448,10,4.4548e-17,0.1768,0,1.6013e-05
1.2,69,192,6,0,0.184,0,1.668e-05
1.2,20,192,6,0,0.18364,0,1.668e-05
1.2,35,1408,2,4.4437e-17,0.22278,0,2.0013e-05
1.2,10,3648,6,3.2298e-17,0.18571,0,1.6683e-05
1.2,78,4544,3,4.4476e-17,0.20534,0,1.668e-05
1.2,2,8768,5,0,0.17732,0,1.6013e-05
1.2,17,256,8,0,0.17908,0,1.6263e-05
1.2,63,320,8,0,0.17977,0,1.6263e-05
1.2,61,256,6,0,0.18414,0,1.668e-05
1.2,47,4160,2,0,0.23221,0,2.0013e-05
1.2,9,256,3,0,0.18357,0,1.668e-05
1.2,72,1536,3,0,0.18938,0,1.668e-05
1.2,43,3648,8,6.3635e-17,0.18858,0,1.6263e-05
1.2,52,1280,4,0,0.1962,0,1.7513e-05
1.2,74,384,9,4.4506e-17,0.18471,0,1.668e-05
1.2,82,1536,7,3.8543e-17,0.19555,0,1.7144e-05
1.2,97,256,7,0,0.18976,0,1.7156e-05
1.2,66,384,6,4.4472e-17,0.18459,0,1.668e-05
1.2,75,5632,9,0,0.21024,0,1.6679e-05
1.2,55,8000,10,0,0.20549,0,1.6013e-05
1.2,71,1344,8,4.4584e-17,0.18399,0,1.6263e-05
1.2,2,192,7,0,0.18874,0,1.7156e-05
1.2,81,1792,6,0,0.19147,0,1.668e-05
1.2,75,6464,2,0,0.25166,0,2.0013e-05
1.2,9,3072,5,0,0.17776,0,1.6013e-05
1.2,19,192,8,0,0.17904,0,1.6263e-05
1.2,73,192,2,0,0.22069,0,2.0013e-05
1.2,26,3456,2,0,0.22554,0,2.0013e-05
1.2,12,1280,9,0,0.1843,0,1.668e-05
1.2,60,384,6,4.4472e-17,0.18449,0,1.668e-05
1.2,53,384,8,4.4472e-17,0.17978,0,1.6263e-05
1.2,70,896,6,0,0.18663,0,1.668e-05
1.2,17,768,5,0,0.17678,0,1.6013e-05
1.2,100,3776,3,0,0.20614,0,1.668e-05
1.2,18,256,6,0,0.18368,0,1.668e-05
1.2,84,4160,9,0,0.20503,0,1.6679e-05
1.2,86,4736,7,0,0.21385,0,1.7156e-05
1.2,80,2688,10,4.45e-17,0.1887,0,1.6013e-05
1.2,2,256,6,0,0.18351,0,1.668e-05
1.2,95,384,7,5.6825e-17,0.19031,0,1.7156e-05
1.2,47,3776,8,3.2331e-17,0.1897,0,1.6246e-05
1.2,53,192,3,0,0.18387,0,1.668e-05
1.2,44,128,4,0,0.19286,0,1.7513e-05
1.2,41,384,1,0,0.22083,0,2.0013e-05
1.2,7,320,10,0,0.17625,0,1.6013e-05
1.2,11,960,3,0,0.18401,0,1.668e-05
1.2,59,384,2,4.4449e-17,0.22113,0,2.0013e-05
1.2,56,128,2,0,0.22041,0,2.0013e-05
1.2,48,8000,6,0,0.20909,0,1.668e-05
1.2,50,640,9,0,0.18503,0,1.668e-05
1.2,69,576,3,0,0.18533,0,1.668e-05
1.2,79,6720,10,0,0.21066,0,1.6013e-05
1.2,86,320,7,1.0103e-16,0.18992,0,1.7156e-05
1.2,17,1152,3,0,0.18449,0,1.668e-05
1.2,72,6720,6,0,0.21494,0,1.668e-05
1.2,8,960,7,0,0.18911,0,1.7156e-05
1.2,39,3072,6,0,0.19048,0,1.668e-05
1.2,76,192,5,0,0.17671,0,1.6013e-05
1.2,80,768,5,0,0.17912,0,1.6013e-05
1.2,100,384,9,4.4506e-17,0.18514,0,1.668e-05
1.2,66,7360,4,0,0.22422,0,1.7513e-05
1.2,57,6720,2,3.0216e-17,0.24537,0,1.9978e-05
1.2,29,1408,6,4.4521e-17,0.18567,0,1.668e-05
1.2,66,1408,9,0,0.18844,0,1.668e-05
1.2,6,9984,7,7.3719e-17,0.19273,0,1.7155e-05
1.2,42,1856,10,0,0.18044,0,1.6013e-05
1.2,64,1088,1,5.5733e-17,0.22375,0,2.0013e-05
1.2,84,704,8,4.4507e-17,0.18176,0,1.6263e-05
1.2,16,960,7,0,0.1895,0,1.7156e-05
1.2,78,320,5,4.4484e-17,0.17723,0,1.6013e-05
1.2,95,5632,10,0,0.21004,0,1.6013e-05
1.2,58,6144,8,0,0.20147,0,1.6263e-05
1.2,73,704,9,4.4545e-17,0.18597,0,1.668e-05
1.2,41,192,10,0,0.17645,0,1.6013e-05
1.2,49,768,2,0,0.22197,0,2.0013e-05
1.2,27,512,10,0,0.1768,0,1.6013e-05
1.2,97,128,1,0,0.2206,0,2.0013e-05
1.2,52,448,3,4.4453e-17,0.18453,0,1.668e-05
1.2,7,192,9,0,0.18353,0,1.668e-05
1.2,79,576,1,0,0.22227,0,2.0013e-05
1.2,35,320,7,1.0103e-16,0.18922,0,1.7156e-05
1.2,73,7360,8,2.8943e-17,0.21383,0,1.6263e-05
1.2,51,256,8,0,0.17944,0,1.6263e-05
1.2,9,128,2,0,0.22019,0,2.0013e-05
1.2,36,448,7,0,0.18946,0,1.7156e-05
1.2,88,1024,2,0,0.2248,0,2.0013e-05
1.2,53,256,8,0,0.17947,0,1.6263e-05
1.2,85,1408,5,8.2005e-17,0.18273,0,1.6013e-05
1.2,52,256,10,0,0.17671,0,1.6013e-05
1.2,2,832,3,4.4429e-17,0.18356,0,1.668e-05
1.2,31,4352,5,0,0.18447,0,1.6013e-05
1.2,72,3648,2,0,0.23591,0,2.0013e-05
1.2,61,320,6,1.0039e-16,0.18434,0,1.668e-05
1.2,52,512,4,0,0.19389,0,1.7513e-05
1.2,37,256,5,0,0.17654,0,1.6013e-05
1.2,85,192,10,0,0.17678,0,1.6013e-05
1.2,53,1152,3,0,0.18663,0,1.668e-05
1.2,73,3648,3,3.2298e-17,0.19968,0,1.6704e-05
1.2,64,1088,5,0,0.17975,0,1.6013e-05
1.2,78,7360,4,0,0.22997,0,1.7513e-05
1.2,65,192,2,0,0.22063,0,2.0013e-05
1.2,85,256,10,0,0.17706,0,1.6013e-05
1.2,37,2816,5,4.4545e-17,0.18223,0,1.6013e-05
1.2,64,2688,3,0,0.19351,0,1.668e-05
1.2,15,704,1,5.5698e-17,0.22066,0,2.0013e-05
1.2,23,128,4,0,0.19276,0,1.7513e-05
1.2,72,2944,8,4.4451e-17,0.19127,0,1.6263e-05
1.2,57,320,8,0,0.17969,0,1.6263e-05
1.2,44,384,4,4.4472e-17,0.19338,0,1.7513e-05
1.2,88,320,9,5.5957e-17,0.1847,0,1.668e-05
1.2,82,3456,4,0,0.20965,0,1.7513e-05
1.2,34,1600,4,0,0.19564,0,1.7513e-05
1.2,69,2048,6,0,0.1915,0,1.668e-05
1.2,21,1024,3,0,0.18459,0,1.668e-05
1.2,46,6720,6,0,0.20358,0,1.668e-05
1.2,8,640,10,0,0.1764,0,1.6013e-05
1.2,98,704,1,5.5698e-17,0.22348,0,2.0013e-05
1.2,65,704,7,9.3697e-17,0.19098,0,1.7151e-05
1.2,37,256,6,0,0.18388,0,1.668e-05
1.2,46,128,4,0,0.19287,0,1.7513e-05
1.2,88,320,7,1.0103e-16,0.18995,0,1.7156e-05
1.2,73,3328,10,0,0.19073,0,1.6013e-05
1.2,82,640,7,0,0.19127,0,1.7156e-05
1.2,80,3328,3,3.3533e-17,0.20389,0,1.6187e-05
1.2,43,3456,8,0,0.18782,0,1.6263e-05
1.2,57,384,7,5.6825e-17,0.18968,0,1.7156e-05
1.2,21,5184,5,0,0.18305,0,1.6013e-05
1.2,8,896,1,0,0.22051,0,2.0013e-05
1.2,12,5888,10,0,0.18063,0,1.6013e-05
1.2,70,3648,6,3.2298e-17,0.19903,0,1.6703e-05
1.2,79,192,3,0,0.18406,0,1.668e-05
1.2,25,9152,5,7.3082e-17,0.1914,0,1.6013e-05
1.2,28,1280,2,0,0.22206,0,2.0013e-05
1.2,32,2688,3,0,0.1885,0,1.668e-05
1.2,9,768,1,4.4419e-17,0.22048,0,2.0013e-05
1.2,20,128,2,0,0.22024,0,2.0013e-05
1.2,87,5184,2,0,0.24871,0,2.0013e-05
1.2,63,896,7,3.855e-17,0.1916,0,1.7161e-05
1.2,74,5184,9,0,0.20778,0,1.6679e-05
1.2,42,256,2,0,0.2206,0,2.0013e-05
1.2,57,128,8,0,0.17917,0,1.6263e-05
1.2,50,576,2,0,0.22149,0,2.0013e-05
1.2,65,1664,10,0,0.1821,0,1.6013e-05
1.2,70,3328,10,0,0.19013,0,1.6013e-05
1.2,29,2688,8,3.3722e-17,0.18351,0,1.6256e-05
1.2,44,1728,7,0,0.19291,0,1.7156e-05
1.2,89,640,3,4.4441e-17,0.18623,0,1.668e-05
1.2,37,1152,7,5.6311e-17,0.19093,0,1.7156e-05
1.2,72,128,5,0,0.17649,0,1.6013e-05
1.2,3,384,7,5.6825e-17,0.18878,0,1.7156e-05
1.2,53,256,9,0,0.18405,0,1.668e-05
1.2,82,896,9,0,0.18716,0,1.668e-05
1.2,10,832,9,4.4468e-17,0.1839,0,1.668e-05
1.2,3,128,4,0,0.19266,0,1.7513e-05
1.2,21,4928,3,4.6541e-17,0.18995,0,1.6689e-05
1.2,72,256,3,0,0.18425,0,1.668e-05
1.2,5,7680,2,0,0.22264,0,2.0013e-05
1.2,93,4352,8,0,0.20386,0,1.6263e-05
1.2,35,5376,6,4.4486e-17,0.19541,0,1.668e-05
1.2,85,4928,4,4.4476e-17,0.21848,0,1.7513e-05
1.2,69,6464,9,0,0.21248,0,1.6679e-05
1.2,73,6720,10,0,0.20804,0,1.6013e-05
1.2,67,5888,10,0,0.20114,0,1.6013e-05
1.2,52,256,7,0,0.18928,0,1.7156e-05
1.2,78,192,1,0,0.22072,0,2.0013e-05
1.2,42,1856,8,0,0.18319,0,1.6263e-05
1.2,97,2816,5,4.4545e-17,0.19208,0,1.6013e-05
1.2,96,448,8,4.4548e-17,0.18084,0,1.6263e-05
1.2,91,4736,6,0,0.21007,0,1.668e-05
1.2,30,640,9,0,0.18441,0,1.668e-05
1.2,24,1664,8,3.7141e-17,0.18113,0,1.6267e-05
1.2,63,9152,3,0,0.22192,0,1.668e-05
1.2,99,704,10,0,0.17952,0,1.6013e-05
1.2,53,3776,3,0,0.19549,0,1.668e-05
