Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,9,1,0,7850,4,0.5,5800,12,7,5,128,0,3.7721,0,2.7976e-05
2.2,7,0,1,3100,10,0.2,5050,505,5,99,1792,0,1.4999,0,0.00013623
2.2,2,1,1,6750,4,0.6,8250,295,8,75,3776,0,1.8646,0,0.00016944
2.2,8,0,0,9400,2,0.3,5300,281,7,65,1344,0,1.4982,0,2.8569e-05
2.2,3,1,0,9600,1,0.3,5600,952,6,77,1536,0,0.71156,0,4.9744e-05
2.2,3,0,0,4650,8,0.6,6050,784,9,14,4544,0,2.4382,0,4.904e-05
2.2,3,1,0,6950,10,0.8,5800,19,9,51,8768,4.4483e-17,5.0192,0,5.1257e-05
2.2,2,1,0,1750,4,0,1550,614,7,64,3200,0,0.78412,0,6.9413e-05
2.2,4,1,0,1250,10,0.1,6750,396,8,17,1472,3.55075365316e-17,22517998.7631,0,-2501.9997506
2.2,8,0,0,5100,4,1,6200,117,9,46,8000,0,4.3467,0,2.8788e-05
2.2,9,1,1,7650,4,0.8,4000,62,9,69,6720,2.974e-17,1.4139,0,0.00012845
2.2,8,1,0,9950,5,0.8,1950,505,7,10,448,0,8.1305,0,2.8878e-05
2.2,5,1,0,500,4,0.5,6850,12,6,45,448,0,0.52038,0,3.6057e-05
2.2,3,1,1,9400,5,0,9500,12,2,29,1664,0,1.6494,0,0.00014989
2.2,9,1,0,5050,3,0,6950,72,2,97,1792,0,0.56922,0,2.8007e-05
2.2,3,0,1,2150,5,0.4,7450,377,7,29,1216,0,1.6953,0,0.00015407
2.2,7,1,0,6200,4,0.1,5850,51,8,16,192,0,0.97097,0,3.153e-05
2.2,8,1,1,8450,2,0.3,8550,210,8,50,128,0,1.4186,0,0.00012888
2.2,5,0,0,2700,5,0,5200,530,4,89,4736,0,0.48626,0,3.5586e-05
2.2,9,1,0,2550,5,0.7,3900,281,9,59,768,0,2.2955,0,2.7915e-05
2.2,4,0,1,2500,2,0.9,6100,9,1,67,1024,0,1.6192,0,0.0001471
2.2,4,1,0,1300,8,0.2,2700,243,6,55,1600,3.5538315913e-17,2814750.4742,0,312.75001656
2.2,7,1,1,3350,4,0.9,7250,106,6,36,3200,0,1.4483,0,0.00013162
2.2,6,0,1,9700,1,0.6,650,123,8,90,192,0,1.6389,0,0.00015128
2.2,3,0,0,4300,3,0.6,2500,416,8,78,320,0,1.0881,0,4.9081e-05
