1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,3,1.0,1.0,9900.0,9.0,0.4,1150.0,149.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6507,0,0.00014976
0,0,0,0,1,0,0,2,1.0,1.0,5750.0,3.0,1.0,6200.0,181.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023009,1.8676,0,0.00016976
0,0,0,0,1,0,0,5,1.0,0.0,5800.0,5.0,0.6,6050.0,56.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5762,0,3.615e-05
0,0,0,0,1,0,0,7,0.0,1.0,2550.0,1.0,0.0,5200.0,210.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038278,1.5009,0,0.00013635
0,0,0,0,1,0,0,9,0.0,0.0,1600.0,5.0,0.5,3600.0,19.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010368,1.3308,0,2.7916e-05
0,0,0,0,1,0,0,8,0.0,1.0,6900.0,7.0,0.3,7050.0,65.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4745,0,0.00013371
0,0,0,0,1,0,0,7,1.0,1.0,3200.0,8.0,0.2,9950.0,310.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012632,1.4488,0,0.00013174
0,0,0,0,1,0,0,7,1.0,0.0,7500.0,10.0,0.2,8400.0,149.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3784,0,3.1611e-05
0,0,0,0,1,0,0,4,0.0,1.0,7100.0,3.0,0.2,3550.0,117.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008006,1.6183,0,0.00014717
0,0,0,0,1,0,0,9,0.0,0.0,9050.0,2.0,0.9,800.0,190.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00050604,2.9881,0,2.7831e-05
