Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,reliability,scalability
3,5,10,1,47,0.012667,0.17632,0,1.6013e-05
3,10,2,1,64,0.011417,0.17633,0,1.6012e-05
3,9,6,1,97,0.012111,0.18366,0,1.6679e-05
3,7,2,3,16,0.011611,0.18891,0,1.7155e-05
3,1,2,1,77,0.011417,0.22032,0,2.0013e-05
3,3,12,1,54,0.013056,0.18365,0,1.668e-05
3,4,4,1,16,0.011889,0.19282,0,1.7513e-05
3,3,2,2,55,0.011611,0.18365,0,1.6679e-05
3,1,12,2,23,0.013889,0.22032,0,2.0013e-05
3,5,2,2,100,0.011611,0.17633,0,1.6013e-05
3,1,6,3,90,0.012667,0.22032,0,2.0013e-05
3,3,6,1,73,0.012111,0.18365,0,1.668e-05
3,5,4,1,32,0.011889,0.17633,0,1.6013e-05
3,6,4,2,31,0.012111,0.18367,0,1.6679e-05
3,5,10,2,83,0.013056,0.17633,0,1.6013e-05
3,1,2,3,6,0.012861,0.22032,0,2.0152e-05
3,7,12,2,4,0.013889,0.18891,0,1.7155e-05
3,4,4,2,75,0.012111,0.19282,0,1.7513e-05
3,3,14,3,95,0.015833,0.18365,0,1.668e-05
3,7,2,3,73,0.011611,0.18891,0,1.7155e-05
3,1,4,2,45,0.012111,0.22032,0,2.0013e-05
3,7,2,1,1,0.011808,0.18891,0,1.7199e-05
3,1,2,2,86,0.011611,0.22032,0,2.0013e-05
3,7,8,3,78,0.013056,0.18891,0,1.7155e-05
3,3,16,3,92,0.016667,0.18365,0,1.668e-05
3,5,2,2,71,0.011611,0.17632,0,1.6013e-05
3,2,16,3,77,0.016667,0.22032,0,2.0013e-05
3,4,8,3,83,0.013056,0.19282,0,1.7513e-05
3,6,2,1,55,0.011417,0.18367,0,1.6679e-05
3,7,6,3,81,0.012667,0.18891,0,1.7155e-05
3,7,16,1,86,0.013889,0.18891,0,1.7155e-05
3,5,2,2,66,0.011611,0.17632,0,1.6013e-05
3,6,2,2,46,0.011611,0.18366,0,1.6679e-05
3,3,14,1,16,0.013056,0.18365,0,1.668e-05
