Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,10,0,1,600,0.9,12,3,0,27.6246,0,-3.13283e-10
1.3,8,0,0,1200,0.3,2,3,3.84e-05,30.0008,0,7.3323e-09
1.3,8,0,1,5650,0,12,3,0,108.7287,0,-2.504152e-10
1.3,2,1,0,7600,0.7,2,1,0.0007968,0.0040079,0,3.0301e-07
1.3,10,0,0,3800,0.5,4,1,0.000288,137.4013,0,4.875289e-08
1.3,5,0,0,3900,0.1,14,2,0,51.6045,0,-1.56357e-10
1.3,8,0,0,8100,0.8,2,3,3.84e-05,282.0008,0,7.332301e-09
1.3,1,1,1,2150,0.4,2,1,0.000744,0.016271,0,6.2905e-07
1.3,10,1,0,1300,0.9,12,2,0,0.0041097,0,-3.1328e-10
1.3,9,0,0,5300,0.6,2,2,0.0003888,184.5008,0,5.730332e-08
1.3,2,0,1,7400,0.6,14,2,0,57.0511,0,-6.25073e-11
1.3,3,0,1,2500,0.5,4,2,4.32e-05,27.0251,0,8.52633e-08
1.3,8,0,1,1000,0.2,4,1,0.0004224,23.1245,0,8.32533e-08
1.3,2,0,1,700,0.8,2,2,0.0001056,6.0069,0,2.0156e-07
1.3,3,0,0,4150,1,2,1,0.000216,60.3026,0,2.48205e-07
1.3,3,0,0,850,0.9,10,3,0,11.7037,0,-9.37648e-11
1.3,6,0,1,650,0.6,2,3,0.0002592,15.0132,0,4.51923e-08
1.3,7,1,0,2150,0,2,3,0.0001344,0.0010454,0,2.3005e-08
1.3,1,0,1,1450,1,10,2,6.24e-05,6.9106,0,2.8022e-07
1.3,4,0,1,700,0.2,2,1,0.0002112,8.1101,0,1.8425e-07
1.3,1,0,1,8100,0.3,6,3,3.36e-05,25.2281,0,2.27535e-07
1.3,10,1,0,850,0.8,4,1,0.000288,0.0014764,0,4.8753e-08
1.3,10,0,1,950,0.5,2,1,0.000624,34.5303,0,1.15343e-07
1.3,2,0,1,1650,0.1,12,1,2.88e-05,8.7144,0,2.0793e-07
1.3,10,1,0,600,0.1,6,2,0,0.0021677,0,-3.1328e-10
1.3,3,0,0,7600,0,2,1,0.000216,54.6026,0,2.48205e-07
1.3,5,1,0,600,0.2,2,1,0.00012,0.0018696,0,1.3508e-07
1.3,3,1,0,2050,0.3,8,3,0,0.0032077,0,-9.3765e-11
1.3,4,0,0,5800,0.4,10,2,0,78.3032,0,-1.25056e-10
1.3,4,0,0,3550,1,14,2,0,68.7045,0,-1.25056e-10
1.3,4,1,1,550,0.7,2,1,0.0002112,0.01072,0,1.8425e-07
1.3,8,0,1,2700,0.9,4,2,0,99.3738,0,-2.50415e-10
1.3,2,0,0,4300,0.7,10,3,0,35.4037,0,-6.25073e-11
1.3,7,0,1,8600,0.5,2,2,0.0002016,217.9866,0,5.095159e-08
1.3,9,1,0,850,0.2,4,1,0.0003888,0.0015419,0,6.7298e-08
1.3,2,0,0,3900,0.6,4,3,2.88e-05,30.3023,0,9.59869e-08
1.3,7,0,1,2000,0.8,4,1,0.0002016,61.2477,0,7.09417e-08
1.3,8,0,1,1550,0.7,12,2,0,51.0438,0,-2.50415e-10
1.3,7,1,1,4150,0.4,8,3,0,0.011709,0,-2.1878e-10
1.3,5,0,1,3150,0.1,6,3,0,41.7466,0,-1.56357e-10
1.3,4,0,1,500,0.7,2,1,0.0002112,8.1084,0,1.8425e-07
1.3,1,1,1,1300,0,8,3,1.44e-05,0.013378,0,1.8727e-07
1.3,6,1,1,1900,0.7,2,1,0.0002016,0.010151,0,1.1973e-07
1.3,1,0,1,5000,0,2,1,0.000744,12.0213,0,6.29054e-07
1.3,6,1,0,7150,0,4,1,8.64e-05,0.0019358,0,7.7677e-08
1.3,6,0,0,1750,0.2,2,2,8.64e-05,30.301,0,4.96906e-08
1.3,2,1,0,1100,0,10,1,0.0001248,0.0050502,0,2.4542e-07
1.3,2,1,1,5000,0.7,2,3,6.72e-05,0.010663,0,1.4005e-07
1.3,3,1,0,3800,0.2,2,3,0.0001008,0.0016409,0,8.5717e-08
1.3,1,0,1,1800,0.1,2,2,0.0003984,4.8095,0,3.8446e-07
1.3,10,0,1,950,1,2,2,0.000288,46.2333,0,4.17563e-08
1.3,2,1,1,3050,0.9,2,3,6.72e-05,0.010663,0,1.4005e-07
1.3,8,1,0,5450,0.6,4,2,0,0.0015196,0,-2.5042e-10
1.3,5,0,0,1150,0.8,2,1,0.00012,25.2016,0,1.35078e-07
1.3,3,0,1,1400,0.6,6,3,0,16.2155,0,-9.37648e-11
1.3,8,1,0,1800,0.4,8,3,0,0.0032094,0,-2.5042e-10
1.3,6,1,0,5450,0.6,2,1,0.0002016,0.0016505,0,1.1973e-07
1.3,10,1,0,3350,0.1,10,2,0,0.0034623,0,-3.1328e-10
1.3,2,0,1,1300,0.8,14,3,0,11.1137,0,-6.25073e-11
1.3,6,0,1,4700,0.2,8,2,0,81.6839,0,-1.87907e-10
1.3,4,0,1,6950,0.1,2,3,5.76e-05,73.5794,0,5.26996e-08
1.3,4,0,1,2400,0.8,14,1,0,41.7354,0,-1.25056e-10
1.3,9,1,1,3900,0.1,2,1,0.0003024,0.0097676,0,8.8174e-08
1.3,6,1,0,1000,0.3,2,2,8.64e-05,0.0012341,0,4.9691e-08
1.3,5,1,1,600,1,2,3,0.000216,0.0097237,0,5.203e-08
1.3,3,0,0,1150,0.9,6,1,0.0001008,15.6031,0,1.75673e-07
1.3,6,1,1,8600,0.6,2,1,0.0002016,0.010151,0,1.1973e-07
1.3,1,1,1,8100,0.2,2,1,0.000744,0.016271,0,6.2905e-07
1.3,6,1,1,3050,0.5,16,2,0,0.013903,0,-1.8791e-10
1.3,4,0,1,5000,0.4,2,2,9.6e-05,67.5617,0,8.82216e-08
1.3,1,0,1,3350,0.2,2,2,0.0003984,9.6141,0,3.8446e-07
1.3,4,1,0,5450,0.4,2,3,5.76e-05,0.0013875,0,5.27e-08
1.3,2,1,1,6350,0.6,6,2,2.88e-05,0.011752,0,1.2397e-07
1.3,1,1,1,850,0.9,4,1,0.0003984,0.016293,0,6.6532e-07
1.3,9,0,1,8100,0.4,2,2,0.0003888,245.9207,0,5.730332e-08
1.3,6,0,1,600,0.6,4,3,0,13.8128,0,-1.87907e-10
1.3,8,1,1,800,0.4,16,1,0,0.013113,0,-2.5042e-10
1.3,6,0,1,6150,0.2,8,2,0,106.6089,0,-1.879068e-10
1.3,3,1,1,2350,0.7,4,3,0.0001296,0.010514,0,4.7467e-08
1.3,4,0,0,3150,0.8,10,3,0,54.6037,0,-1.25056e-10
1.3,9,0,0,8100,0.5,2,1,0.0003024,263.701,0,8.81737e-08
1.3,2,0,0,1200,1,2,2,0.0001056,11.4024,0,2.01555e-07
1.3,10,0,1,1450,0.1,16,2,0,38.446,0,-3.13283e-10
1.3,1,0,0,8100,0.3,6,1,7.2e-05,25.2077,0,6.80864e-07
1.3,2,1,0,800,0.5,2,3,6.72e-05,0.0021628,0,1.4005e-07
1.3,2,0,0,6550,0.9,16,3,0,60.306,0,-6.25073e-11
1.3,1,1,1,4400,0.6,12,3,4.32e-05,0.014095,0,1.0425e-07
1.3,10,0,1,1250,1,4,2,0,60.6441,0,-3.13283e-10
1.3,5,0,0,6750,0.7,16,1,0,138.6044,0,-1.563573e-10
1.3,10,1,1,1550,0.9,2,1,0.000624,0.0096911,0,1.1534e-07
