Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,80,192,0,0,3350,0.5,9,0,109.8238,0,-1.574378e-10
1.4,6,512,0,0,8350,0.7,9,0,319.0381,0,-3.167752e-10
1.4,18,832,0,1,4050,0.9,9,4.446752e-17,172.4137,0,-3.822858e-10
1.4,16,4928,1,0,1000,0.2,9,0,0.0050919,0,-6.2623e-10
1.4,22,384,1,0,1300,0.3,8,4.4472e-17,0.00059311,0,-2.3119e-10
1.4,90,7360,0,0,2200,0.6,8,2.89426e-17,68.4238,0,-6.18728e-10
1.4,99,2368,1,1,950,0.3,7,4.4447e-17,0.025073,0,-3.9776e-10
1.4,16,320,1,0,5300,0.8,2,0,0.00045389,0,-1.9851e-11
1.4,29,1984,1,0,1950,0.6,8,0,0.0033918,0,-4.3243e-10
1.4,70,2368,0,0,1800,0.6,6,0,42.026,0,-3.43324e-10
1.4,18,3648,0,0,700,0.2,8,6.36348e-17,16.3766,0,-5.18991e-10
1.4,72,832,0,1,550,0,7,4.452e-17,9.5683,0,5.2523e-09
1.4,6,192,1,0,700,0.5,1,0,0.00026886,0,5.6873e-11
1.4,56,256,1,1,3150,0.9,8,0,0.0093316,0,-1.864e-10
1.4,90,6720,0,1,5450,0.6,3,0,64.2873,0,-2.25302e-10
1.4,9,9600,0,1,8600,0.6,4,7.256831e-17,133.6064,0,-3.18999e-10
1.4,37,9984,0,0,1050,0,9,7.32628e-17,22.8286,0,-7.30324e-10
1.4,37,448,1,0,2500,1,1,4.4418e-17,0.00097303,0,-1.0672e-12
1.4,20,448,0,1,1250,0.4,4,4.44533e-17,17.1245,0,-1.0995e-10
1.4,95,1600,1,0,4850,0.8,10,4.3312e-17,0.0087152,0,-1.4602e-08
1.4,61,6144,0,1,500,0.3,7,0,10.867,0,-5.17981e-10
1.4,89,2816,0,0,750,0.2,9,0,19.7993,0,-5.51702e-10
1.4,75,320,1,1,3900,0.9,9,5.5957e-17,0.010115,0,-2.6892e-10
1.4,31,1344,1,0,850,0.5,6,4.4472e-17,0.0024529,0,-2.939e-10
1.4,20,2432,0,1,500,0.7,1,0,2.1131,0,-5.1218e-11
1.4,4,1600,0,1,1300,0.6,1,0,5.1059,0,-4.9567e-11
1.4,22,384,0,0,4150,0.9,4,4.44718e-17,76.6624,0,-9.39453e-11
1.4,32,320,0,0,6000,0.2,8,0,143.8481,0,-2.166685e-10
1.4,25,1728,0,0,700,0,5,3.5721e-17,8.5645,0,-4.263e-09
1.4,16,1600,0,1,500,0,9,3.49293e-17,10.8168,0,-2.84361e-09
1.4,26,576,0,1,1200,0.2,2,0,7.0066,0,-5.1233e-11
1.4,72,1984,1,1,1700,1,6,0,0.019303,0,-3.1952e-10
1.4,21,256,0,0,600,0.9,5,0,14.326,0,-9.60372e-11
1.4,94,1728,0,1,7400,0,9,0,163.1801,0,-4.835994e-10
1.4,88,2432,0,1,5000,1,6,4.452e-17,146.2185,0,-3.435489e-10
1.4,59,1984,1,0,5300,0.5,9,0,0.006666,0,-4.8628e-10
1.4,51,7040,1,0,1650,0.9,10,0,0.023572,0,-7.6862e-10
1.4,28,512,0,1,3550,0.6,10,0,141.8077,0,-3.558165e-10
1.4,58,1408,1,1,2000,0.5,9,0,0.015467,0,-4.5318e-10
1.4,43,1152,0,0,950,0,2,0,4.5592,0,-8.2664e-11
1.4,82,2368,0,0,3150,0.9,6,0,87.6715,0,-3.43324e-10
1.4,1,128,1,0,7400,0.7,3,0,0.00023781,0,5.2109e-11
